no.,stationid,start,id_start,end,id_end,pathkind,waykind,LocationHintStructuredHint,time
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_1,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_1,between,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_1,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_1,between,STAIRS,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_2,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_2,between,STAIRS,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_3,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_2,between,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_3,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_2,between,STAIRS,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_4,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_3,between,ELEVATOR,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_4,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_3,between,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_4,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_3,between,STAIRS,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_5,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_3,between,STAIRS,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_6,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_4,between,ELEVATOR,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_6,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_4,between,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,exit,TaiwanStation_XiMenXimen_6,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_4,between,STAIRS,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,between,ELEVATOR,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,between,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,between,STAIRS,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_2,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,between,ELEVATOR,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_2,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,between,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_2,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,between,STAIRS,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_3,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,between,ELEVATOR,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_3,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,between,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_3,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,between,STAIRS,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_4,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,between,ELEVATOR,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_4,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,between,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,facility,TaiwanStation_XiMenXimen_TicketGate_Concourse_4,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,between,STAIRS,,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,platform,Platform_Platform_TaiwanXiMenXimen_Ssxdxsxl_1,from,WALKWAY,,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,platform,Platform_Platform_TaiwanXiMenXimen_B_dNE,from,WALKWAY,,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_Ssxdxsxl_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,from,WALKWAY,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_B_dNE,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,from,WALKWAY,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,from,ELEVATOR,,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,from,ELEVATOR,,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,from,ELEVATOR,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,from,ELEVATOR,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,from,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,from,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,from,ESCALATOR,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,from,ESCALATOR,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,from,STAIRS,,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,from,STAIRS,,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,from,STAIRS,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_1,from,STAIRS,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,platform,Platform_Platform_TaiwanXiMenXimen_Ssxdxsxl_1,from,WALKWAY,,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,platform,Platform_Platform_TaiwanXiMenXimen_B_dNE,from,WALKWAY,,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_Ssxdxsxl_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,from,WALKWAY,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_B_dNE,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,from,WALKWAY,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,from,ELEVATOR,,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,from,ELEVATOR,,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,from,ELEVATOR,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,from,ELEVATOR,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,from,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,from,ESCALATOR,,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,from,ESCALATOR,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,from,ESCALATOR,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,from,STAIRS,,1
1,TaiwanStation_XiMenXimen,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,from,STAIRS,,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_G_dS,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,from,STAIRS,PLATFORM_MIDDLE,1
1,TaiwanStation_XiMenXimen,platform,Platform_Platform_TaiwanXiMenXimen_Bnxbl_1,waypoint,TaiwanStation_XiMenXimen_Concourse_Upper_2,from,STAIRS,PLATFORM_MIDDLE,1
2,TaiwanStation_ShiZhengFuTaipeiCityHall,exit,TaiwanStation_ShiZhengFuTaipeiCityHall_1,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,between,STAIRS,,90
2,TaiwanStation_ShiZhengFuTaipeiCityHall,exit,TaiwanStation_ShiZhengFuTaipeiCityHall_2,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,between,ELEVATOR,,90
2,TaiwanStation_ShiZhengFuTaipeiCityHall,exit,TaiwanStation_ShiZhengFuTaipeiCityHall_2,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,between,ESCALATOR,,90
2,TaiwanStation_ShiZhengFuTaipeiCityHall,exit,TaiwanStation_ShiZhengFuTaipeiCityHall_2,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,between,STAIRS,,90
2,TaiwanStation_ShiZhengFuTaipeiCityHall,exit,TaiwanStation_ShiZhengFuTaipeiCityHall_3,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,between,ESCALATOR,,90
2,TaiwanStation_ShiZhengFuTaipeiCityHall,exit,TaiwanStation_ShiZhengFuTaipeiCityHall_3,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,between,STAIRS,,90
2,TaiwanStation_ShiZhengFuTaipeiCityHall,exit,TaiwanStation_ShiZhengFuTaipeiCityHall_4,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,between,ESCALATOR,,90
2,TaiwanStation_ShiZhengFuTaipeiCityHall,exit,TaiwanStation_ShiZhengFuTaipeiCityHall_4,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,between,STAIRS,,90
2,TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_TaipeiRapidTransit,from,ELEVATOR,,60
2,TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_B_dW,from,ELEVATOR,,60
2,TaiwanStation_ShiZhengFuTaipeiCityHall,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_TaipeiRapidTransit,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,from,ELEVATOR,PLATFORM_BACK,60
2,TaiwanStation_ShiZhengFuTaipeiCityHall,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_B_dW,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,from,ELEVATOR,PLATFORM_FRONT,60
2,TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_TaipeiRapidTransit,from,ESCALATOR,,40
2,TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_B_dW,from,ESCALATOR,,40
2,TaiwanStation_ShiZhengFuTaipeiCityHall,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_TaipeiRapidTransit,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,from,ESCALATOR,PLATFORM_BACK,40
2,TaiwanStation_ShiZhengFuTaipeiCityHall,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_B_dW,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,from,ESCALATOR,PLATFORM_FRONT,40
2,TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_TaipeiRapidTransit,from,STAIRS,,30
2,TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_B_dW,from,STAIRS,,30
2,TaiwanStation_ShiZhengFuTaipeiCityHall,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_TaipeiRapidTransit,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,from,STAIRS,PLATFORM_BACK,30
2,TaiwanStation_ShiZhengFuTaipeiCityHall,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_B_dW,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_1,from,STAIRS,PLATFORM_FRONT,30
2,TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_TaipeiRapidTransit,from,ESCALATOR,,40
2,TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_B_dW,from,ESCALATOR,,40
2,TaiwanStation_ShiZhengFuTaipeiCityHall,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_TaipeiRapidTransit,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,from,ESCALATOR,PLATFORM_FRONT,40
2,TaiwanStation_ShiZhengFuTaipeiCityHall,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_B_dW,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,from,ESCALATOR,PLATFORM_BACK,40
2,TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_TaipeiRapidTransit,from,STAIRS,,30
2,TaiwanStation_ShiZhengFuTaipeiCityHall,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_B_dW,from,STAIRS,,30
2,TaiwanStation_ShiZhengFuTaipeiCityHall,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_TaipeiRapidTransit,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,from,STAIRS,PLATFORM_FRONT,30
2,TaiwanStation_ShiZhengFuTaipeiCityHall,platform,Platform_Platform_TaiwanShiZhengFuTaipeiCityHall_B_dW,facility,TaiwanStation_ShiZhengFuTaipeiCityHall_TicketGate_Concourse_2,from,STAIRS,PLATFORM_BACK,30
3,TaiwanStation_YongChunYongchun,exit,TaiwanStation_YongChunYongchun_1,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,between,ESCALATOR,,90
3,TaiwanStation_YongChunYongchun,exit,TaiwanStation_YongChunYongchun_1,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,between,STAIRS,,90
3,TaiwanStation_YongChunYongchun,exit,TaiwanStation_YongChunYongchun_2,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,between,STAIRS,,60
3,TaiwanStation_YongChunYongchun,exit,TaiwanStation_YongChunYongchun_3,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,between,STAIRS,,60
3,TaiwanStation_YongChunYongchun,exit,TaiwanStation_YongChunYongchun_4,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,between,STAIRS,,60
3,TaiwanStation_YongChunYongchun,exit,TaiwanStation_YongChunYongchun_5,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,between,ELEVATOR,,90
3,TaiwanStation_YongChunYongchun,exit,TaiwanStation_YongChunYongchun_5,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,between,ESCALATOR,,60
3,TaiwanStation_YongChunYongchun,exit,TaiwanStation_YongChunYongchun_5,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,between,STAIRS,,60
3,TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,platform,Platform_Platform_TaiwanYongChunYongchun_B_dNE,from,ESCALATOR,,40
3,TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,platform,Platform_Platform_TaiwanYongChunYongchun_TaipeiRapidTransit,from,ESCALATOR,,40
3,TaiwanStation_YongChunYongchun,platform,Platform_Platform_TaiwanYongChunYongchun_B_dNE,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,from,ESCALATOR,PLATFORM_BACK,40
3,TaiwanStation_YongChunYongchun,platform,Platform_Platform_TaiwanYongChunYongchun_TaipeiRapidTransit,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,from,ESCALATOR,PLATFORM_FRONT,40
3,TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,platform,Platform_Platform_TaiwanYongChunYongchun_B_dNE,from,STAIRS,,90
3,TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,platform,Platform_Platform_TaiwanYongChunYongchun_TaipeiRapidTransit,from,STAIRS,,90
3,TaiwanStation_YongChunYongchun,platform,Platform_Platform_TaiwanYongChunYongchun_B_dNE,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,from,STAIRS,PLATFORM_BACK,90
3,TaiwanStation_YongChunYongchun,platform,Platform_Platform_TaiwanYongChunYongchun_TaipeiRapidTransit,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_1,from,STAIRS,PLATFORM_FRONT,90
3,TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,platform,Platform_Platform_TaiwanYongChunYongchun_B_dNE,from,ELEVATOR,,60
3,TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,platform,Platform_Platform_TaiwanYongChunYongchun_TaipeiRapidTransit,from,ELEVATOR,,60
3,TaiwanStation_YongChunYongchun,platform,Platform_Platform_TaiwanYongChunYongchun_B_dNE,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,from,ELEVATOR,PLATFORM_FRONT,60
3,TaiwanStation_YongChunYongchun,platform,Platform_Platform_TaiwanYongChunYongchun_TaipeiRapidTransit,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,from,ELEVATOR,PLATFORM_BACK,60
3,TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,platform,Platform_Platform_TaiwanYongChunYongchun_B_dNE,from,ESCALATOR,,40
3,TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,platform,Platform_Platform_TaiwanYongChunYongchun_TaipeiRapidTransit,from,ESCALATOR,,40
3,TaiwanStation_YongChunYongchun,platform,Platform_Platform_TaiwanYongChunYongchun_B_dNE,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,from,ESCALATOR,PLATFORM_FRONT,40
3,TaiwanStation_YongChunYongchun,platform,Platform_Platform_TaiwanYongChunYongchun_TaipeiRapidTransit,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,from,ESCALATOR,PLATFORM_BACK,40
3,TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,platform,Platform_Platform_TaiwanYongChunYongchun_B_dNE,from,STAIRS,,30
3,TaiwanStation_YongChunYongchun,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,platform,Platform_Platform_TaiwanYongChunYongchun_TaipeiRapidTransit,from,STAIRS,,30
3,TaiwanStation_YongChunYongchun,platform,Platform_Platform_TaiwanYongChunYongchun_B_dNE,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,from,STAIRS,PLATFORM_FRONT,30
3,TaiwanStation_YongChunYongchun,platform,Platform_Platform_TaiwanYongChunYongchun_TaipeiRapidTransit,facility,TaiwanStation_YongChunYongchun_TicketGate_Concourse_2,from,STAIRS,PLATFORM_BACK,30
4,TaiwanStation_HouShanPiHoushanpi,exit,TaiwanStation_HouShanPiHoushanpi_1,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_1,between,ESCALATOR,,90
4,TaiwanStation_HouShanPiHoushanpi,exit,TaiwanStation_HouShanPiHoushanpi_1,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_1,between,STAIRS,,90
4,TaiwanStation_HouShanPiHoushanpi,exit,TaiwanStation_HouShanPiHoushanpi_2,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_1,between,ESCALATOR,,90
4,TaiwanStation_HouShanPiHoushanpi,exit,TaiwanStation_HouShanPiHoushanpi_2,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_1,between,STAIRS,,90
4,TaiwanStation_HouShanPiHoushanpi,exit,TaiwanStation_HouShanPiHoushanpi_3,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_2,between,ELEVATOR,,120
4,TaiwanStation_HouShanPiHoushanpi,exit,TaiwanStation_HouShanPiHoushanpi_3,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_2,between,ESCALATOR,,90
4,TaiwanStation_HouShanPiHoushanpi,exit,TaiwanStation_HouShanPiHoushanpi_3,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_2,between,STAIRS,,90
4,TaiwanStation_HouShanPiHoushanpi,exit,TaiwanStation_HouShanPiHoushanpi_4,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_2,between,ESCALATOR,,90
4,TaiwanStation_HouShanPiHoushanpi,exit,TaiwanStation_HouShanPiHoushanpi_4,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_2,between,STAIRS,,90
4,TaiwanStation_HouShanPiHoushanpi,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_1,platform,Platform_Platform_TaiwanHouShanPiHoushanpi_B_dNE,from,ESCALATOR,,40
4,TaiwanStation_HouShanPiHoushanpi,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_1,platform,Platform_Platform_TaiwanHouShanPiHoushanpi_B_dNE,from,ESCALATOR,,40
4,TaiwanStation_HouShanPiHoushanpi,platform,Platform_Platform_TaiwanHouShanPiHoushanpi_B_dNE,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_1,from,ESCALATOR,PLATFORM_BACK,40
4,TaiwanStation_HouShanPiHoushanpi,platform,Platform_Platform_TaiwanHouShanPiHoushanpi_B_dNE,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_1,from,ESCALATOR,PLATFORM_FRONT,40
4,TaiwanStation_HouShanPiHoushanpi,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_1,platform,Platform_Platform_TaiwanHouShanPiHoushanpi_B_dNE,from,STAIRS,,90
4,TaiwanStation_HouShanPiHoushanpi,facility,TaiwanStation_HouShanPiHoushanpi_TickeGate_Concourse_1,platform,Platform_Platform_TaiwanHouShanPiHoushanpi_B_dNE,from,STAIRS,,90
